Accession,ExhibitType,URL,Method,Subsidiary,Jurisdiction,NestingLevel,ParentName,Ownership,Footnotes,IsNested
000095017025038693,EX-21,"https://www.sec.gov/Archives/edgar/data/1000209/000095017025038693/mfin-ex21/1.htm",Nested,"Medallion Funding LLC","",0,,,"",false
,,,,"Medallion Capital, Inc.","",0,,,"",false
,,,,"Freshstart Venture Capital Corp.","",0,,,"",false
,,,,"Medallion Bank","",0,,,"",false
000100022825000014,EX-21,"https://www.sec.gov/Archives/edgar/data/1000228/000100022825000014/exhibit211.htm",Nested,"ACE Surgical Supply Co., Inc.","",0,,,"",false
,,,,"BioHorizons, Inc.1","",0,,,"",false
,,,,"Camlog USA, Inc.2","",0,,,"",false
,,,,"eAssist, Inc.3","",0,,,"",false
,,,,"Exan Enterprises Inc.4","",0,,,"",false
,,,,"Handpiece Parts & Repairs, Inc.","",1,"Exan Enterprises Inc.4",,"",true
,,,,"Henry Schein Inc.","",0,,,"Lancaster, PA",false
,,,,"Henry Schein Europe, Inc.5","",0,,,"",false
,,,,"Henry Schein Global Sourcing, Inc.6","",0,,,"",false
,,,,"Henry Schein Home Health, LLC7","",0,,,"",false
,,,,"Henry Schein Latin America Pacific Rim, Inc.8","",0,,,"",false
,,,,"Henry Schein Medical Systems, Inc.","",0,,,"",false
,,,,"Henry Schein MSO, LLC","",0,,,"",false
,,,,"Henry Schein PPT, Inc.","",0,,,"",false
,,,,"Henry Schein Practice Solutions Inc.9","",0,,,"",false
,,,,"Henry Schein Puerto Rico, Inc.","",0,,,"",false
,,,,"Henry Schein Supply, Inc.","",0,,,"",false
,,,,"HS Brand Management, LLC","",0,,,"",false
,,,,"HS Financial Holdings, Inc.10","",0,,,"",false
,,,,"HS TM Holdings, LLC11","",0,,,"",false
,,,,"HSFR, Inc.","",0,,,"",false
,,,,"HSGS Corp.12","",0,,,"",false
,,,,"HSI RE I, LLC","",0,,,"",false
,,,,"Insource, Inc.","",0,,,"",false
,,,,"Midway Group Holdings, LLC","",0,,,"",false
,,,,"Modern Laboratory Services, Inc.","",0,,,"",false
,,,,"Ortho2, LLC","",0,,,"",false
,,,,"Project Helium Holdings, LLC13","",0,,,"",false
,,,,"Project Spartan Holdings Corp.14","",0,,,"",false
,,,,"RxWorks, LLC","",0,,,"",false
,,,,"S & S Discount, Inc.15","",1,"RxWorks, LLC",,"",true
,,,,"SAS Holdco, Inc.16","",0,,,"",false
,,,,"TDSC, Inc.","",0,,,"",false
,,,,"Toy Products Corp.17","",0,,,"",false
,,,,"Trimed, Inc.18","",0,,,"",false
000100062325000009,EX-21,"https://www.sec.gov/Archives/edgar/data/1000623/000100062325000009/ex211q42024subsidiaries.htm",Nested,"Mativ Canada, ULC.","",0,,,"",false
,,,,"DelStar Technologies Trading Corp. Ltd.","",0,,,"Shanghai",false
,,,,"DelStar Technologies Co. Ltd.","",0,,,"Suzhou",false
,,,,"Mativ Spain, S.L.","",0,,,"",false
,,,,"DelStar Technologies, Inc.","",0,,,"",false
,,,,"Trient, LLC","",0,,,"",false
,,,,"Mativ Holding S.A.S.","",0,,,"",false
,,,,"Groupe Scapa France S.A.S.","",0,,,"",false
,,,,"Mativ HoldCo 1 S.à.R.L.","",0,,,"",false
,,,,"Mativ HoldCo 2 S.à.R.L.","",0,,,"",false
,,,,"Mativ HoldCo 3 S.A.","",0,,,"",false
,,,,"Mativ Luxembourg S.à.R.L.","",0,,,"",false
,,,,"Mativ Holdco Luxembourg S.à.R.L.","",0,,,"",false
,,,,"PDM Philippines Industries, Inc.","",0,,,"",false
,,,,"Mativ Poland Sp. zo.o.","",0,,,"",false
,,,,"DelStar International, Limited","",0,,,"",false
,,,,"Mativ Argotec, LLC","",0,,,"",false
,,,,"Argotec LLC","",0,,,"",false
,,,,"Argotec Asia Pacific Limited","",0,,,"",false
,,,,"Argotec Deutschland GmbH","",0,,,"",false
,,,,"Conwed Plastics B.V.","",0,,,"",false
,,,,"Mativ Conwed, LLC","",0,,,"",false
,,,,"Conwed Plastics Acquisitions Co. V LLC","",0,,,"",false
,,,,"Scapa North America, Inc.","",0,,,"",false
,,,,"Scapa Tapes North America , Inc.","",0,,,"Carlstadt",false
,,,,"Scapa Tapes North America, LLC","",0,,,"",false
,,,,"EuroMed, Inc.","",0,,,"",false
,,,,"BioMed Laboratories LLC","",0,,,"",false
,,,,"Mativ Holdings No. 1, Inc.","",0,,,"",false
,,,,"Mativ Asia Holdings Limited","",0,,,"",false
,,,,"AMS Holdco 1 Ltd.","",0,,,"",false
,,,,"AMS Holdco 2 Ltd.","",0,,,"",false
,,,,"Scapa Group Ltd.","",0,,,"",false
,,,,"First Water Ltd.","",0,,,"",false
,,,,"Scapa Blackburn Ltd.","",0,,,"",false
,,,,"Scapa Healthcare Ltd.","",0,,,"",false
,,,,"Systagenix Wound Management Manufacturing Ltd.","",0,,,"",false
,,,,"Crawford Manufacturing Ltd.","",0,,,"",false
,,,,"Scapa Denver Ltd.","",0,,,"North",false
