Accession,ExhibitType,URL,Method,Subsidiary,Jurisdiction,NestingLevel,ParentName,ParentId,Ownership,Footnotes,IsNested
000143774925038228,EX-21,"https://www.sec.gov/Archives/edgar/data/1000230/000143774925038228/ex/897383.htm",Failed,"FAILED","","0","","","","","false"
000119312525034579,EX-21,"https://www.sec.gov/Archives/edgar/data/1000697/000119312525034579/d791800dex211.htm",Failed,"FAILED","","0","","","","","false"
000100075325000008,EX-21,"https://www.sec.gov/Archives/edgar/data/1000753/000100075325000008/a12312024nsp-ex211xsubsidi.htm",Failed,"FAILED","","0","","","","","false"
000143774925036009,EX-21,"https://www.sec.gov/Archives/edgar/data/1001115/000143774925036009/ex/860202.htm",Failed,"FAILED","","0","","","","","false"
000114036125011258,EX-21,"https://www.sec.gov/Archives/edgar/data/1001171/000114036125011258/ef20038929/ex21-1.htm",Failed,"FAILED","","0","","","","","false"
000162828025013088,EX-21,"https://www.sec.gov/Archives/edgar/data/1001233/000162828025013088/sgmo-20241231xexx211.htm",Failed,"FAILED","","0","","","","","false"
000143774925005908,EX-21,"https://www.sec.gov/Archives/edgar/data/1001316/000143774925005908/ex/702317.htm",Failed,"FAILED","","0","","","","","false"
000143774925005465,EX-21,"https://www.sec.gov/Archives/edgar/data/1001385/000143774925005465/ex/727600.htm",Failed,"FAILED","","0","","","","","false"
000155837025002017,EX-21,"https://www.sec.gov/Archives/edgar/data/1001838/000155837025002017/scco-20241231xex21d1.htm",Failed,"FAILED","","0","","","","","false"
000119312525027255,EX-21,"https://www.sec.gov/Archives/edgar/data/1001902/000119312525027255/d847873dex211.htm",Failed,"FAILED","","0","","","","","false"
000119312525311490,EX-21,"https://www.sec.gov/Archives/edgar/data/1002590/000119312525311490/sgu-ex21.htm",Failed,"FAILED","","0","","","","","false"
000143774925028487,EX-21,"https://www.sec.gov/Archives/edgar/data/100378/000143774925028487/ex/855291.htm",Failed,"FAILED","","0","","","","","false"
000089971525000036,EX-21,"https://www.sec.gov/Archives/edgar/data/1004036/000089971525000036/skt10k12312024ex211.htm",Failed,"FAILED","","0","","","","","false"
000100443425000010,EX-21,"https://www.sec.gov/Archives/edgar/data/1004434/000100443425000010/amg/exhibit21x12312024.htm",Failed,"FAILED","","0","","","","","false"
000119312525298630,EX-21,"https://www.sec.gov/Archives/edgar/data/1005210/000119312525298630/sph-ex21/1.htm",Failed,"FAILED","","0","","","","","false"
000100522925000149,EX-21,"https://www.sec.gov/Archives/edgar/data/1005229/000100522925000149/a03312025ex211cmcosubsidia.htm",Failed,"FAILED","","0","","","","","false"
