Accession,ExhibitType,URL,Method,Subsidiary,Jurisdiction,NestingLevel,ParentName,ParentId,Ownership,Footnotes,IsNested
000095017025038693,EX-21,"https://www.sec.gov/Archives/edgar/data/1000209/000095017025038693/mfin-ex21/1.htm",Heuristic,"Medallion Funding LLC","New York",0,,6bd69361-5068-5121-9d53-9dd80499df2a,,"",false
000095017025038693,EX-21,"https://www.sec.gov/Archives/edgar/data/1000209/000095017025038693/mfin-ex21/1.htm",Heuristic,"Medallion Capital, Inc.","Minnesota",0,,6bd69361-5068-5121-9d53-9dd80499df2a,,"",false
000095017025038693,EX-21,"https://www.sec.gov/Archives/edgar/data/1000209/000095017025038693/mfin-ex21/1.htm",Heuristic,"Freshstart Venture Capital Corp.","New York",0,,6bd69361-5068-5121-9d53-9dd80499df2a,,"",false
000095017025038693,EX-21,"https://www.sec.gov/Archives/edgar/data/1000209/000095017025038693/mfin-ex21/1.htm",Heuristic,"Medallion Bank","Utah",0,,6bd69361-5068-5121-9d53-9dd80499df2a,,"",false
000100022825000014,EX-21,"https://www.sec.gov/Archives/edgar/data/1000228/000100022825000014/exhibit211.htm",Heuristic,"ACE Surgical Supply Co., Inc.","Massachusetts",0,,0644a2d7-c768-5a0d-aca8-83406de3273f,,"",false
000100022825000014,EX-21,"https://www.sec.gov/Archives/edgar/data/1000228/000100022825000014/exhibit211.htm",Heuristic,"BioHorizons, Inc.1","Delaware",0,,0644a2d7-c768-5a0d-aca8-83406de3273f,,"",false
000100022825000014,EX-21,"https://www.sec.gov/Archives/edgar/data/1000228/000100022825000014/exhibit211.htm",Heuristic,"Camlog USA, Inc.2","Delaware",0,,0644a2d7-c768-5a0d-aca8-83406de3273f,,"",false
000100022825000014,EX-21,"https://www.sec.gov/Archives/edgar/data/1000228/000100022825000014/exhibit211.htm",Heuristic,"eAssist, Inc.3","Wyoming",0,,0644a2d7-c768-5a0d-aca8-83406de3273f,,"",false
000100022825000014,EX-21,"https://www.sec.gov/Archives/edgar/data/1000228/000100022825000014/exhibit211.htm",Heuristic,"Exan Enterprises Inc.4","Nevada",0,,0644a2d7-c768-5a0d-aca8-83406de3273f,,"",false
000100022825000014,EX-21,"https://www.sec.gov/Archives/edgar/data/1000228/000100022825000014/exhibit211.htm",Heuristic,"Handpiece Parts & Repairs, Inc.","Delaware",1,"Exan Enterprises Inc.4",569d99e5-f7de-5369-8159-8f03a1e7b35d,,"",true
