Accession,ExhibitType,URL,Method,Success,SubsidiaryCount,MaxNestingLevel,HasNested,ErrorMessage
000100022825000014,EX-21,"https://www.sec.gov/Archives/edgar/data/1000228/000100022825000014/exhibit211.htm",Heuristic,true,35,1,true,
000143774925029909,EX-21,"https://www.sec.gov/Archives/edgar/data/1001907/000143774925029909/ex/831011.htm",Heuristic,true,11,2,true,
000100307825000123,EX-21,"https://www.sec.gov/Archives/edgar/data/1003078/000100307825000123/fy25exhibit211.htm",Heuristic,true,30,1,true,
000143774925017409,EX-21,"https://www.sec.gov/Archives/edgar/data/1004989/000143774925017409/ex/751599.htm",Heuristic,true,17,1,true,
000155837025004847,EX-21,"https://www.sec.gov/Archives/edgar/data/1011509/000155837025004847/aumn-20241231xex21d1.htm",Heuristic,true,6,1,true,
000155837025001823,EX-21,"https://www.sec.gov/Archives/edgar/data/1013880/000155837025001823/ttec-20241231xex21d1.htm",Heuristic,true,31,1,true,
000010203725000028,EX-21,"https://www.sec.gov/Archives/edgar/data/102037/000010203725000028/uvv-exhibit21x03312025.htm",Heuristic,true,31,1,true,
000155837025001271,EX-21,"https://www.sec.gov/Archives/edgar/data/1022344/000155837025001271/spg-20241231xex21d1.htm",Heuristic,true,14,1,true,
000107997325000156,EX-21,"https://www.sec.gov/Archives/edgar/data/1031093/000107997325000156/ex21x.htm",Heuristic,true,8,1,true,
000155837025001001,EX-21,"https://www.sec.gov/Archives/edgar/data/103145/000155837025001001/veco-20241231xex21d1.htm",Heuristic,true,15,1,true,
000103222025000053,EX-21,"https://www.sec.gov/Archives/edgar/data/1032220/000103222025000053/a211-mmsx2025x09x30xxex211.htm",Heuristic,true,24,1,true,
000103297525000029,EX-21,"https://www.sec.gov/Archives/edgar/data/1032975/000103297525000029/exhibit21110k-2025.htm",Heuristic,true,7,1,true,
000103939925000023,EX-21,"https://www.sec.gov/Archives/edgar/data/1039399/000103939925000023/a10-kxformxex211x2024.htm",Heuristic,true,8,1,true,
000093905725000159,EX-21,"https://www.sec.gov/Archives/edgar/data/1041368/000093905725000159/rvsb-20250331xex21.htm",Heuristic,true,3,1,true,
000104712725000030,EX-21,"https://www.sec.gov/Archives/edgar/data/1047127/000104712725000030/amkr123124ex211.htm",Heuristic,true,19,2,true,
000119312525041730,EX-21,"https://www.sec.gov/Archives/edgar/data/105016/000119312525041730/d898605dex211.htm",Heuristic,true,21,1,true,
000105091525000005,EX-21,"https://www.sec.gov/Archives/edgar/data/1050915/000105091525000005/pwr-ex211x12312024.htm",Heuristic,true,30,1,true,
000010513225000067,EX-21,"https://www.sec.gov/Archives/edgar/data/105132/000010513225000067/wdfc-20250831xex21.htm",Heuristic,true,13,1,true,
000143774925008584,EX-21,"https://www.sec.gov/Archives/edgar/data/1061069/000143774925008584/ex/788424.htm",Heuristic,true,19,1,true,
000095017025021359,EX-21,"https://www.sec.gov/Archives/edgar/data/1066247/000095017025021359/reg-ex21.htm",Heuristic,true,36,1,true,
000106770125000008,EX-21,"https://www.sec.gov/Archives/edgar/data/1067701/000106770125000008/uri-2024123110kex21.htm",Heuristic,true,29,1,true,
000162828025004859,EX-21,"https://www.sec.gov/Archives/edgar/data/1069202/000162828025004859/lii-ex211/20241231x10k.htm",Heuristic,true,10,1,true,
000155837025011776,EX-21,"https://www.sec.gov/Archives/edgar/data/1069899/000155837025011776/pahc-20250630xex21d1.htm",Heuristic,true,50,1,true,
000107042325000006,EX-21,"https://www.sec.gov/Archives/edgar/data/1070423/000107042325000006/paa202410-kexhibit211.htm",Heuristic,true,42,1,true,
000108476525000115,EX-21,"https://www.sec.gov/Archives/edgar/data/1084765/000108476525000115/exhibit211-listofsubsidiar.htm",Heuristic,true,28,1,true,
000109269925000011,EX-21,"https://www.sec.gov/Archives/edgar/data/1092699/000109269925000011/a2024/xex211-subsidiarylist.htm",Heuristic,true,28,2,true,
000109980025000005,EX-21,"https://www.sec.gov/Archives/edgar/data/1099800/000109980025000005/ex-21110xkq42024.htm",Heuristic,true,4,1,true,
000110450625000009,EX-21,"https://www.sec.gov/Archives/edgar/data/1104506/000110450625000009/insm20241231ex211.htm",Heuristic,true,13,1,true,
000011047125000046,EX-21,"https://www.sec.gov/Archives/edgar/data/110471/000011047125000046/a2024-q4ex21subsidiaries.htm",Heuristic,true,42,1,true,
000110813425000003,EX-21,"https://www.sec.gov/Archives/edgar/data/1108134/000110813425000003/ex212024.htm",Heuristic,true,21,2,true,
000143774925012234,EX-21,"https://www.sec.gov/Archives/edgar/data/1113809/000143774925012234/ex/757856.htm",Heuristic,true,8,1,true,
000168316825006532,EX-21,"https://www.sec.gov/Archives/edgar/data/1114925/000168316825006532/lantronix/ex2101.htm",Heuristic,true,5,1,true,
000111505525000042,EX-21,"https://www.sec.gov/Archives/edgar/data/1115055/000111505525000042/exhibit21112312024.htm",Heuristic,true,30,1,true,
000143774925006301,EX-21,"https://www.sec.gov/Archives/edgar/data/1120370/000143774925006301/ex/726540.htm",Heuristic,true,3,1,true,
000117184325001472,EX-21,"https://www.sec.gov/Archives/edgar/data/1123494/000117184325001472/ex/785422.htm",Heuristic,true,10,1,true,
000112479625000021,EX-21,"https://www.sec.gov/Archives/edgar/data/1124796/000112479625000021/exhibit211-q4202410xk.htm",Heuristic,true,7,1,true,
000155837025010334,EX-21,"https://www.sec.gov/Archives/edgar/data/1157408/000155837025010334/lrn-20250630xex21d1.htm",Heuristic,true,5,1,true,
000143774925005637,EX-21,"https://www.sec.gov/Archives/edgar/data/1158895/000143774925005637/ex/780711.htm",Heuristic,true,19,1,true,
000116600325000017,EX-21,"https://www.sec.gov/Archives/edgar/data/1166003/000116600325000017/xpo202410-kexx21.htm",Heuristic,true,11,1,true,
000143774925007990,EX-21,"https://www.sec.gov/Archives/edgar/data/1175535/000143774925007990/ex/752901.htm",Heuristic,true,53,1,true,
000155837025001402,EX-21,"https://www.sec.gov/Archives/edgar/data/1192448/000155837025001402/gkos-20241231xex21.htm",Heuristic,true,18,1,true,
000120626425000058,EX-21,"https://www.sec.gov/Archives/edgar/data/1206264/000120626425000058/exhibit211-tpxx2023subsidi.htm",Heuristic,true,39,1,true,
000101376225004161,EX-21,"https://www.sec.gov/Archives/edgar/data/1218683/000101376225004161/ea023433201ex21-1/mawson.htm",Heuristic,true,16,1,true,
000123024525000038,EX-21,"https://www.sec.gov/Archives/edgar/data/1230245/000123024525000038/pscq42024ex211.htm",Heuristic,true,44,2,true,
000126282325000011,EX-21,"https://www.sec.gov/Archives/edgar/data/1262823/000126282325000011/exhibit2112312410-k.htm",Heuristic,true,33,1,true,
000155837025001023,EX-21,"https://www.sec.gov/Archives/edgar/data/1265131/000155837025001023/hth-20241231xex21d1.htm",Heuristic,true,33,1,true,
000127368525000028,EX-21,"https://www.sec.gov/Archives/edgar/data/1273685/000127368525000028/ex211december2024.htm",Heuristic,true,7,1,true,
000137647425000498,EX-21,"https://www.sec.gov/Archives/edgar/data/1276531/000137647425000498/se/ex21.htm",Heuristic,true,11,1,true,
000155837025004183,EX-21,"https://www.sec.gov/Archives/edgar/data/1282648/000155837025004183/batl-20241231xex21d1.htm",Heuristic,true,8,2,true,
000128481225000087,EX-21,"https://www.sec.gov/Archives/edgar/data/1284812/000128481225000087/cns10k-123124ex211.htm",Heuristic,true,7,1,true,
000155837025002721,EX-21,"https://www.sec.gov/Archives/edgar/data/1287098/000155837025002721/mxct-20241231xex21d1.htm",Heuristic,true,2,1,true,
000162828025009060,EX-21,"https://www.sec.gov/Archives/edgar/data/1289490/000162828025009060/q4202410kex211.htm",Heuristic,true,1,1,true,
000155837025003706,EX-21,"https://www.sec.gov/Archives/edgar/data/1290476/000155837025003706/vbfc-20241231xex21.htm",Heuristic,true,6,1,true,
000143774925004205,EX-21,"https://www.sec.gov/Archives/edgar/data/1307954/000143774925004205/ex/705564.htm",Heuristic,true,47,2,true,
000095017025038692,EX-21,"https://www.sec.gov/Archives/edgar/data/1318008/000095017025038692/zumz-ex21/1.htm",Heuristic,true,20,1,true,
