Accession,ExhibitType,URL,Method,Success,SubsidiaryCount,MaxNestingLevel,HasNested,ErrorMessage
000095017025038693,EX-21,"https://www.sec.gov/Archives/edgar/data/1000209/000095017025038693/mfin-ex21/1.htm",Heuristic,true,4,0,false,
000100022825000014,EX-21,"https://www.sec.gov/Archives/edgar/data/1000228/000100022825000014/exhibit211.htm",Heuristic,true,35,1,true,
000100062325000009,EX-21,"https://www.sec.gov/Archives/edgar/data/1000623/000100062325000009/ex211q42024subsidiaries.htm",Heuristic,true,39,0,false,
000155837025002818,EX-21,"https://www.sec.gov/Archives/edgar/data/1001082/000155837025002818/dish-20241231xex21.htm",Heuristic,true,4,0,false,
000100125025000099,EX-21,"https://www.sec.gov/Archives/edgar/data/1001250/000100125025000099/exhibit211-fy25.htm",Heuristic,true,8,0,false,
000100161425000012,EX-21,"https://www.sec.gov/Archives/edgar/data/1001614/000100161425000012/exhibit211123124.htm",Heuristic,true,4,0,false,
000143774925029909,EX-21,"https://www.sec.gov/Archives/edgar/data/1001907/000143774925029909/ex/831011.htm",Heuristic,true,11,2,true,
000095017025083705,EX-21,"https://www.sec.gov/Archives/edgar/data/1002047/000095017025083705/ntap-ex21/1.htm",Heuristic,true,59,0,false,
000100263825000053,EX-21,"https://www.sec.gov/Archives/edgar/data/1002638/000100263825000053/q4-2510xkexhibit211.htm",Heuristic,true,46,0,false,
000100307825000123,EX-21,"https://www.sec.gov/Archives/edgar/data/1003078/000100307825000123/fy25exhibit211.htm",Heuristic,true,30,1,true,
000095017025047742,EX-21,"https://www.sec.gov/Archives/edgar/data/1004724/000095017025047742/rhe-ex21/1.htm",Heuristic,true,44,0,false,
000162828025058738,EX-21,"https://www.sec.gov/Archives/edgar/data/10048/000162828025058738/exhibitno2193025.htm",Heuristic,true,9,0,false,
000010049325000095,EX-21,"https://www.sec.gov/Archives/edgar/data/100493/000010049325000095/tsn2025q410-kexx21.htm",Heuristic,true,52,0,false,
000100498025000010,EX-21,"https://www.sec.gov/Archives/edgar/data/1004980/000100498025000010/exhibit21-12312024.htm",Heuristic,true,2,0,false,
000143774925017409,EX-21,"https://www.sec.gov/Archives/edgar/data/1004989/000143774925017409/ex/751599.htm",Heuristic,true,17,1,true,
000149315225014286,EX-21,"https://www.sec.gov/Archives/edgar/data/1005101/000149315225014286/ex21-1.htm",Heuristic,true,12,0,false,
000010051725000046,EX-21,"https://www.sec.gov/Archives/edgar/data/100517/000010051725000046/ual/12312410kex21.htm",Heuristic,true,3,0,false,
000100528625000108,EX-21,"https://www.sec.gov/Archives/edgar/data/1005286/000100528625000108/lfcr-20250525xexx211subsid.htm",Heuristic,true,5,0,false,
000149315225016071,EX-21,"https://www.sec.gov/Archives/edgar/data/1005731/000149315225016071/ex21-01.htm",Heuristic,true,10,0,false,
000095017025023962,EX-21,"https://www.sec.gov/Archives/edgar/data/1005757/000095017025023962/csgs-ex21/01.htm",Heuristic,true,46,0,false,
000155837025003039,EX-21,"https://www.sec.gov/Archives/edgar/data/1006281/000155837025003039/plx-20241231xex21d1.htm",Heuristic,true,1,0,false,
000110465925090839,EX-21,"https://www.sec.gov/Archives/edgar/data/1006655/000110465925090839/epm-20250630xex21d1.htm",Heuristic,true,8,0,false,
000100683725000021,EX-21,"https://www.sec.gov/Archives/edgar/data/1006837/000100683725000021/exhibit211-q410k2024.htm",Heuristic,true,3,0,false,
000149315225004500,EX-21,"https://www.sec.gov/Archives/edgar/data/1007019/000149315225004500/ex21-1.htm",Heuristic,true,2,0,false,
000095017025111331,EX-21,"https://www.sec.gov/Archives/edgar/data/100726/000095017025111331/ufi-ex21.htm",Heuristic,true,18,0,false,
000100291025000055,EX-21,"https://www.sec.gov/Archives/edgar/data/100826/000100291025000055/aee202410-kxexhibit211.htm",Heuristic,true,19,0,false,
000143774925014208,EX-21,"https://www.sec.gov/Archives/edgar/data/1008586/000143774925014208/ex/667742.htm",Heuristic,true,4,0,false,
000010088525000042,EX-21,"https://www.sec.gov/Archives/edgar/data/100885/000010088525000042/a202410-kexx21.htm",Heuristic,true,1,0,false,
000118518525000170,EX-21,"https://www.sec.gov/Archives/edgar/data/1009829/000118518525000170/jakkex21.htm",Heuristic,true,16,0,false,
000093905725000242,EX-21,"https://www.sec.gov/Archives/edgar/data/1010470/000093905725000242/prov-20250630xex21d1.htm",Heuristic,true,4,0,false,
000155837025004847,EX-21,"https://www.sec.gov/Archives/edgar/data/1011509/000155837025004847/aumn-20241231xex21d1.htm",Heuristic,true,6,1,true,
000010119925000012,EX-21,"https://www.sec.gov/Archives/edgar/data/101199/000010119925000012/exhibit21123124.htm",Heuristic,true,13,0,false,
000143774925004794,EX-21,"https://www.sec.gov/Archives/edgar/data/1012019/000143774925004794/ex/778987.htm",Heuristic,true,5,0,false,
000101247725000010,EX-21,"https://www.sec.gov/Archives/edgar/data/1012477/000101247725000010/a123124ex-211.htm",Heuristic,true,9,0,false,
000162828025045769,EX-21,"https://www.sec.gov/Archives/edgar/data/1013237/000162828025045769/fds-202508x31xexx21.htm",Heuristic,true,50,0,false,
000156276225000042,EX-21,"https://www.sec.gov/Archives/edgar/data/1013272/000156276225000042/nwfl-20241231xex21.htm",Heuristic,true,4,0,false,
000101346225000009,EX-21,"https://www.sec.gov/Archives/edgar/data/1013462/000101346225000009/anssex211-20241231x10konly.htm",Heuristic,true,38,0,false,
000095017025028420,EX-21,"https://www.sec.gov/Archives/edgar/data/101382/000095017025028420/umbf-ex21/1.htm",Heuristic,true,33,0,false,
000101385725000024,EX-21,"https://www.sec.gov/Archives/edgar/data/1013857/000101385725000024/q42024/ex-211.htm",Heuristic,true,7,0,false,
000101387125000006,EX-21,"https://www.sec.gov/Archives/edgar/data/1013871/000101387125000006/exhibit211q42024.htm",Heuristic,true,39,0,false,
000155837025001823,EX-21,"https://www.sec.gov/Archives/edgar/data/1013880/000155837025001823/ttec-20241231xex21d1.htm",Heuristic,true,31,1,true,
000101447325000006,EX-21,"https://www.sec.gov/Archives/edgar/data/1014473/000101447325000006/vrsn-20241231x10kxex2101.htm",Heuristic,true,15,0,false,
000101473925000012,EX-21,"https://www.sec.gov/Archives/edgar/data/1014739/000101473925000012/ex211-listofsubsidiaries.htm",Heuristic,true,37,0,false,
000114036125012058,EX-21,"https://www.sec.gov/Archives/edgar/data/1015155/000114036125012058/ef20029694/ex21-1.htm",Heuristic,true,1,0,false,
000101532825000093,EX-21,"https://www.sec.gov/Archives/edgar/data/1015328/000101532825000093/exhibit211subsidiaries1231.htm",Heuristic,true,42,0,false,
000095017025086893,EX-21,"https://www.sec.gov/Archives/edgar/data/1015383/000095017025086893/poww-ex21/1.htm",Heuristic,true,6,0,false,
000165495425003048,EX-21,"https://www.sec.gov/Archives/edgar/data/101538/000165495425003048/uamy/ex211.htm",Heuristic,true,11,0,false,
000095017025038714,EX-21,"https://www.sec.gov/Archives/edgar/data/1015739/000095017025038714/awre-ex21/1.htm",Heuristic,true,2,0,false,
000101628125000045,EX-21,"https://www.sec.gov/Archives/edgar/data/1016281/000101628125000045/csv-ex211x20241231x10k.htm",Heuristic,true,44,0,false,
000143774925029711,EX-21,"https://www.sec.gov/Archives/edgar/data/1016504/000143774925029711/ex/834958.htm",Heuristic,true,7,0,false,
000101816425000027,EX-21,"https://www.sec.gov/Archives/edgar/data/1018164/000101816425000027/exhibit211subsidiariesofth.htm",Heuristic,true,33,0,false,
000010182925000005,EX-21,"https://www.sec.gov/Archives/edgar/data/101829/000010182925000005/exhibit212024-12x3110xk.htm",Heuristic,true,38,0,false,
000101839925000013,EX-21,"https://www.sec.gov/Archives/edgar/data/1018399/000101839925000013/ebtc12312410kex21.htm",Heuristic,true,6,0,false,
000101872425000004,EX-21,"https://www.sec.gov/Archives/edgar/data/1018724/000101872425000004/amzn-20241231xex211.htm",Heuristic,true,9,0,false,
000101884025000013,EX-21,"https://www.sec.gov/Archives/edgar/data/1018840/000101884025000013/exhibit211q42024.htm",Heuristic,true,40,0,false,
000162828025007092,EX-21,"https://www.sec.gov/Archives/edgar/data/1018963/000162828025007092/fy202410k211.htm",Heuristic,true,7,0,false,
000101984925000022,EX-21,"https://www.sec.gov/Archives/edgar/data/1019849/000101984925000022/a202410kex21.htm",Heuristic,true,34,0,false,
000095017025027906,EX-21,"https://www.sec.gov/Archives/edgar/data/1020214/000095017025027906/cers-ex21/1.htm",Heuristic,true,1,0,false,
000010203725000028,EX-21,"https://www.sec.gov/Archives/edgar/data/102037/000010203725000028/uvv-exhibit21x03312025.htm",Heuristic,true,31,1,true,
000102056925000040,EX-21,"https://www.sec.gov/Archives/edgar/data/1020569/000102056925000040/irm2024ex-211.htm",Heuristic,true,40,0,false,
000102085925000054,EX-21,"https://www.sec.gov/Archives/edgar/data/1020859/000102085925000054/exhibit21subsidiarylisting.htm",Heuristic,true,44,0,false,
000141057825001522,EX-21,"https://www.sec.gov/Archives/edgar/data/102109/000141057825001522/uuu-20250331xex21.htm",Heuristic,true,3,0,false,
000102232125000023,EX-21,"https://www.sec.gov/Archives/edgar/data/1022321/000102232125000023/a110/annualxex211xgel12312.htm",Heuristic,true,45,0,false,
000155837025001271,EX-21,"https://www.sec.gov/Archives/edgar/data/1022344/000155837025001271/spg-20241231xex21d1.htm",Heuristic,true,14,1,true,
000149315225028364,EX-21,"https://www.sec.gov/Archives/edgar/data/1022505/000149315225028364/ex21-1.htm",Heuristic,true,1,0,false,
000102265225000005,EX-21,"https://www.sec.gov/Archives/edgar/data/1022652/000102265225000005/insg20241231ex21.htm",Heuristic,true,12,0,false,
000155837025001886,EX-21,"https://www.sec.gov/Archives/edgar/data/1022671/000155837025001886/stld-20241231xex21d1.htm",Heuristic,true,16,0,false,
000102302425000015,EX-21,"https://www.sec.gov/Archives/edgar/data/1023024/000102302425000015/anip-20241231xexx21.htm",Heuristic,true,11,0,false,
000102312825000026,EX-21,"https://www.sec.gov/Archives/edgar/data/1023128/000102312825000026/a2024q4exx21subsidiaries.htm",Heuristic,true,53,0,false,
000095017025035158,EX-21,"https://www.sec.gov/Archives/edgar/data/1023313/000095017025035158/forr-ex21.htm",Heuristic,true,16,0,false,
000102430525000030,EX-21,"https://www.sec.gov/Archives/edgar/data/1024305/000102430525000030/exhibit211-subsidiarieslis.htm",Heuristic,true,42,0,false,
000102447825000116,EX-21,"https://www.sec.gov/Archives/edgar/data/1024478/000102447825000116/rok10k2025ex21.htm",Heuristic,true,28,0,false,
000095017025026703,EX-21,"https://www.sec.gov/Archives/edgar/data/1024795/000095017025026703/hlio-ex21/1.htm",Heuristic,true,31,0,false,
000102537825000031,EX-21,"https://www.sec.gov/Archives/edgar/data/1025378/000102537825000031/wpc202410-kexh211.htm",Heuristic,true,44,0,false,
000102583525000039,EX-21,"https://www.sec.gov/Archives/edgar/data/1025835/000102583525000039/a20241231-ex211.htm",Heuristic,true,4,0,false,
000010272925000009,EX-21,"https://www.sec.gov/Archives/edgar/data/102729/000010272925000009/vmi-20241228xex21.htm",Heuristic,true,15,0,false,
000102891825000014,EX-21,"https://www.sec.gov/Archives/edgar/data/1028918/000102891825000014/ppbi202410-kex21.htm",Heuristic,true,4,0,false,
000107997325000156,EX-21,"https://www.sec.gov/Archives/edgar/data/1031093/000107997325000156/ex21x.htm",Heuristic,true,8,1,true,
000095017025045186,EX-21,"https://www.sec.gov/Archives/edgar/data/1031235/000095017025045186/self-ex21/1.htm",Heuristic,true,16,0,false,
000103130825000002,EX-21,"https://www.sec.gov/Archives/edgar/data/1031308/000103130825000002/a24q4exhibit21.htm",Heuristic,true,36,0,false,
000155837025000806,EX-21,"https://www.sec.gov/Archives/edgar/data/1031316/000155837025000806/fsp-20241231xex21d1.htm",Heuristic,true,34,0,false,
000155837025001001,EX-21,"https://www.sec.gov/Archives/edgar/data/103145/000155837025001001/veco-20241231xex21d1.htm",Heuristic,true,15,1,true,
000162828025006776,EX-21,"https://www.sec.gov/Archives/edgar/data/1032033/000162828025006776/slmex21112312024.htm",Heuristic,true,1,0,false,
000103222025000053,EX-21,"https://www.sec.gov/Archives/edgar/data/1032220/000103222025000053/a211-mmsx2025x09x30xxex211.htm",Heuristic,true,24,1,true,
000103297525000029,EX-21,"https://www.sec.gov/Archives/edgar/data/1032975/000103297525000029/exhibit21110k-2025.htm",Heuristic,true,7,1,true,
000010337925000023,EX-21,"https://www.sec.gov/Archives/edgar/data/103379/000010337925000023/vfc3292025ex211.htm",Heuristic,true,42,0,false,
000103405425000002,EX-21,"https://www.sec.gov/Archives/edgar/data/1034054/000103405425000002/sbac-20241231xex21.htm",Heuristic,true,24,0,false,
000165495425004306,EX-21,"https://www.sec.gov/Archives/edgar/data/1034760/000165495425004306/wyy/ex21.htm",Heuristic,true,5,0,false,
000103500225000005,EX-21,"https://www.sec.gov/Archives/edgar/data/1035002/000103500225000005/a12312024exh2101.htm",Heuristic,true,38,0,false,
000103520125000003,EX-21,"https://www.sec.gov/Archives/edgar/data/1035201/000103520125000003/cwt-20241231xex21.htm",Heuristic,true,7,0,false,
